ZIP,Year,Measure,Female,Male,Percent,Percent.Female,Percent.Male,Total
68022,2020,X45.to.49.years,1050,926,7.3,7.9,6.7,1976
68022,2020,X50.to.54.years,723,796,5.6,5.5,5.8,1519
68022,2020,X55.to.59.years,562,693,4.6,4.3,5,1255
68022,2020,X60.to.64.years,687,529,4.5,5.2,3.8,1216
68022,2020,X65.to.69.years,413,413,3.1,3.1,3,826
68022,2020,X70.to.74.years,297,245,2,2.2,1.8,542
68022,2020,X75.to.79.years,492,281,2.9,3.7,2,773
68022,2020,X80.to.84.years,161,262,1.6,1.2,1.9,423
68022,2020,X85.years.and.over,255,101,1.3,1.9,0.7,356
68022,2020,Median.age..years.,36.4,32.8,NA,NA,NA,34.6
68102,2018,Total.population,3362,4507,NA,NA,NA,7869
68102,2018,Under.5.years,35,78,1.4,1,1.7,113
68102,2018,X5.to.9.years,53,24,1,1.6,0.5,77
68102,2018,X10.to.14.years,105,12,1.5,3.1,0.3,117
68102,2018,X15.to.19.years,266,219,6.2,7.9,4.9,485
68102,2018,X20.to.24.years,1008,716,21.9,30,15.9,1724
68102,2018,X25.to.29.years,541,954,19,16.1,21.2,1495
68102,2018,X30.to.34.years,293,581,11.1,8.7,12.9,874
68102,2018,X35.to.39.years,135,482,7.8,4,10.7,617
68102,2018,X40.to.44.years,153,322,6,4.6,7.1,475
68102,2018,X45.to.49.years,250,291,6.9,7.4,6.5,541
68102,2018,X50.to.54.years,85,168,3.2,2.5,3.7,253
68102,2018,X55.to.59.years,210,227,5.6,6.2,5,437
68102,2018,X60.to.64.years,50,168,2.8,1.5,3.7,218
68102,2018,X65.to.69.years,107,117,2.8,3.2,2.6,224
68102,2018,X70.to.74.years,12,120,1.7,0.4,2.7,132
68102,2018,X75.to.79.years,44,0,0.6,1.3,0,44
68102,2018,X80.to.84.years,0,27,0.3,0,0.6,27
68102,2018,X85.years.and.over,15,1,0.2,0.4,0,16
68102,2018,Median.age..years.,26.3,32.2,NA,NA,NA,29.7
68102,2019,Total.population,3601,4956,NA,NA,NA,8557
68102,2019,Under.5.years,44,35,0.9,1.2,0.7,79
68102,2019,X5.to.9.years,31,27,0.7,0.9,0.5,58
68102,2019,X10.to.14.years,68,36,1.2,1.9,0.7,104
68102,2019,X15.to.19.years,276,248,6.1,7.7,5,524
68102,2019,X20.to.24.years,1093,668,20.6,30.4,13.5,1761
68102,2019,X25.to.29.years,581,1009,18.6,16.1,20.4,1590
68102,2019,X30.to.34.years,344,636,11.5,9.6,12.8,980
68102,2019,X35.to.39.years,200,683,10.3,5.6,13.8,883
68102,2019,X40.to.44.years,154,343,5.8,4.3,6.9,497
68102,2019,X45.to.49.years,199,374,6.7,5.5,7.5,573
68102,2019,X50.to.54.years,159,141,3.5,4.4,2.8,300
68102,2019,X55.to.59.years,241,313,6.5,6.7,6.3,554
68102,2019,X60.to.64.years,52,214,3.1,1.4,4.3,266
68102,2019,X65.to.69.years,87,85,2,2.4,1.7,172
68102,2019,X70.to.74.years,13,119,1.5,0.4,2.4,132
68102,2019,X75.to.79.years,31,0,0.4,0.9,0,31
68102,2019,X80.to.84.years,0,24,0.3,0,0.5,24
68102,2019,X85.years.and.over,28,1,0.3,0.8,0,29
68102,2019,Median.age..years.,26.5,33,NA,NA,NA,30.8
68102,2020,Total.population,3480,5247,NA,NA,NA,8727
68102,2020,Under.5.years,10,36,0.5,0.3,0.7,46
68102,2020,X5.to.9.years,12,11,0.3,0.3,0.2,23
68102,2020,X10.to.14.years,45,16,0.7,1.3,0.3,61
68102,2020,X15.to.19.years,265,234,5.7,7.6,4.5,499
68102,2020,X20.to.24.years,889,674,17.9,25.5,12.8,1563
68102,2020,X25.to.29.years,574,1187,20.2,16.5,22.6,1761
68102,2020,X30.to.34.years,456,624,12.4,13.1,11.9,1080
68102,2020,X35.to.39.years,234,789,11.7,6.7,15,1023
68102,2020,X40.to.44.years,181,373,6.3,5.2,7.1,554
68102,2020,X45.to.49.years,185,373,6.4,5.3,7.1,558
68102,2020,X50.to.54.years,150,186,3.9,4.3,3.5,336
68102,2020,X55.to.59.years,246,322,6.5,7.1,6.1,568
68102,2020,X60.to.64.years,42,174,2.5,1.2,3.3,216
68102,2020,X65.to.69.years,54,69,1.4,1.6,1.3,123
68102,2020,X70.to.74.years,44,151,2.2,1.3,2.9,195
68102,2020,X75.to.79.years,79,2,0.9,2.3,0,81
68102,2020,X80.to.84.years,0,25,0.3,0,0.5,25
68102,2020,X85.years.and.over,14,1,0.2,0.4,0,15
68102,2020,Median.age..years.,29.2,33.2,NA,NA,NA,31.7
68104,2018,Total.population,19198,17348,NA,NA,NA,36546
68104,2018,Under.5.years,1283,1434,7.4,6.7,8.3,2717
68104,2018,X5.to.9.years,1440,1419,7.8,7.5,8.2,2859
68104,2018,X10.to.14.years,1392,1259,7.3,7.3,7.3,2651
68104,2018,X15.to.19.years,1298,1201,6.8,6.8,6.9,2499
68104,2018,X20.to.24.years,902,1168,5.7,4.7,6.7,2070
68104,2018,X25.to.29.years,1475,1364,7.8,7.7,7.9,2839
68104,2018,X30.to.34.years,1796,1195,8.2,9.4,6.9,2991
68104,2018,X35.to.39.years,1310,1096,6.6,6.8,6.3,2406
68104,2018,X40.to.44.years,1447,1330,7.6,7.5,7.7,2777
68104,2018,X45.to.49.years,1073,1074,5.9,5.6,6.2,2147
68104,2018,X50.to.54.years,1211,1196,6.6,6.3,6.9,2407
68104,2018,X55.to.59.years,1114,1098,6.1,5.8,6.3,2212
68104,2018,X60.to.64.years,897,857,4.8,4.7,4.9,1754
68104,2018,X65.to.69.years,1017,532,4.2,5.3,3.1,1549
68104,2018,X70.to.74.years,561,440,2.7,2.9,2.5,1001
68104,2018,X75.to.79.years,349,386,2,1.8,2.2,735
68104,2018,X80.to.84.years,309,120,1.2,1.6,0.7,429
68104,2018,X85.years.and.over,324,179,1.4,1.7,1,503
68104,2018,Median.age..years.,35,33.4,NA,NA,NA,34.4
68104,2019,Total.population,19389,17490,NA,NA,NA,36879
68104,2019,Under.5.years,1262,1423,7.3,6.5,8.1,2685
68104,2019,X5.to.9.years,1365,1422,7.6,7,8.1,2787
68104,2019,X10.to.14.years,1502,1115,7.1,7.7,6.4,2617
68104,2019,X15.to.19.years,1234,1206,6.6,6.4,6.9,2440
68104,2019,X20.to.24.years,1053,1234,6.2,5.4,7.1,2287
