ZIP,Year,Measure,Female,Male,Percent,Percent.Female,Percent.Male,Total
68117,2018,X35.to.39.years,278,230,5.9,6.1,5.6,508
68117,2018,X40.to.44.years,212,228,5.1,4.7,5.6,440
68117,2018,X45.to.49.years,227,331,6.4,5,8.1,558
68117,2018,X50.to.54.years,316,357,7.8,6.9,8.7,673
68117,2018,X55.to.59.years,274,370,7.4,6,9,644
68117,2018,X60.to.64.years,221,107,3.8,4.8,2.6,328
68117,2018,X65.to.69.years,176,104,3.2,3.9,2.5,280
68117,2018,X70.to.74.years,216,180,4.6,4.7,4.4,396
68117,2018,X75.to.79.years,120,69,2.2,2.6,1.7,189
68117,2018,X80.to.84.years,139,43,2.1,3,1,182
68117,2018,X85.years.and.over,95,71,1.9,2.1,1.7,166
68117,2018,Median.age..years.,34.9,35.3,NA,NA,NA,35.1
68117,2019,Total.population,4653,4031,NA,NA,NA,8684
68117,2019,Under.5.years,439,261,8.1,9.4,6.5,700
68117,2019,X5.to.9.years,396,222,7.1,8.5,5.5,618
68117,2019,X10.to.14.years,354,345,8,7.6,8.6,699
68117,2019,X15.to.19.years,334,328,7.6,7.2,8.1,662
68117,2019,X20.to.24.years,167,343,5.9,3.6,8.5,510
68117,2019,X25.to.29.years,387,245,7.3,8.3,6.1,632
68117,2019,X30.to.34.years,296,220,5.9,6.4,5.5,516
68117,2019,X35.to.39.years,306,232,6.2,6.6,5.8,538
68117,2019,X40.to.44.years,192,269,5.3,4.1,6.7,461
68117,2019,X45.to.49.years,195,318,5.9,4.2,7.9,513
68117,2019,X50.to.54.years,360,311,7.7,7.7,7.7,671
68117,2019,X55.to.59.years,281,382,7.6,6,9.5,663
68117,2019,X60.to.64.years,193,129,3.7,4.1,3.2,322
68117,2019,X65.to.69.years,164,99,3,3.5,2.5,263
68117,2019,X70.to.74.years,204,160,4.2,4.4,4,364
68117,2019,X75.to.79.years,148,96,2.8,3.2,2.4,244
68117,2019,X80.to.84.years,116,15,1.5,2.5,0.4,131
68117,2019,X85.years.and.over,121,56,2,2.6,1.4,177
68117,2019,Median.age..years.,34.4,35.3,NA,NA,NA,35
68117,2020,Total.population,4610,3725,NA,NA,NA,8335
68117,2020,Under.5.years,518,203,8.7,11.2,5.4,721
68117,2020,X5.to.9.years,327,258,7,7.1,6.9,585
68117,2020,X10.to.14.years,390,233,7.5,8.5,6.3,623
68117,2020,X15.to.19.years,280,252,6.4,6.1,6.8,532
68117,2020,X20.to.24.years,187,314,6,4.1,8.4,501
68117,2020,X25.to.29.years,283,215,6,6.1,5.8,498
68117,2020,X30.to.34.years,247,207,5.4,5.4,5.6,454
68117,2020,X35.to.39.years,404,242,7.8,8.8,6.5,646
68117,2020,X40.to.44.years,214,308,6.3,4.6,8.3,522
68117,2020,X45.to.49.years,187,250,5.2,4.1,6.7,437
68117,2020,X50.to.54.years,329,331,7.9,7.1,8.9,660
68117,2020,X55.to.59.years,275,303,6.9,6,8.1,578
68117,2020,X60.to.64.years,287,145,5.2,6.2,3.9,432
68117,2020,X65.to.69.years,164,131,3.5,3.6,3.5,295
68117,2020,X70.to.74.years,168,160,3.9,3.6,4.3,328
68117,2020,X75.to.79.years,126,102,2.7,2.7,2.7,228
68117,2020,X80.to.84.years,100,31,1.6,2.2,0.8,131
68117,2020,X85.years.and.over,124,40,2,2.7,1.1,164
68117,2020,Median.age..years.,35.6,38.2,NA,NA,NA,36.4
68118,2018,Total.population,5069,5065,NA,NA,NA,10134
68118,2018,Under.5.years,226,349,5.7,4.5,6.9,575
68118,2018,X5.to.9.years,407,461,8.6,8,9.1,868
68118,2018,X10.to.14.years,451,377,8.2,8.9,7.4,828
68118,2018,X15.to.19.years,431,298,7.2,8.5,5.9,729
68118,2018,X20.to.24.years,227,247,4.7,4.5,4.9,474
68118,2018,X25.to.29.years,180,219,3.9,3.6,4.3,399
68118,2018,X30.to.34.years,248,248,4.9,4.9,4.9,496
68118,2018,X35.to.39.years,369,396,7.5,7.3,7.8,765
68118,2018,X40.to.44.years,336,244,5.7,6.6,4.8,580
68118,2018,X45.to.49.years,399,361,7.5,7.9,7.1,760
68118,2018,X50.to.54.years,457,430,8.8,9,8.5,887
68118,2018,X55.to.59.years,400,458,8.5,7.9,9,858
68118,2018,X60.to.64.years,357,365,7.1,7,7.2,722
68118,2018,X65.to.69.years,221,264,4.8,4.4,5.2,485
68118,2018,X70.to.74.years,126,110,2.3,2.5,2.2,236
68118,2018,X75.to.79.years,76,88,1.6,1.5,1.7,164
68118,2018,X80.to.84.years,41,71,1.1,0.8,1.4,112
68118,2018,X85.years.and.over,117,79,1.9,2.3,1.6,196
68118,2018,Median.age..years.,39.9,39.5,NA,NA,NA,39.6
68118,2019,Total.population,5030,5010,NA,NA,NA,10040
68118,2019,Under.5.years,251,363,6.1,5,7.2,614
68118,2019,X5.to.9.years,378,485,8.6,7.5,9.7,863
68118,2019,X10.to.14.years,479,358,8.3,9.5,7.1,837
68118,2019,X15.to.19.years,392,241,6.3,7.8,4.8,633
68118,2019,X20.to.24.years,138,268,4,2.7,5.3,406
68118,2019,X25.to.29.years,166,209,3.7,3.3,4.2,375
68118,2019,X30.to.34.years,262,240,5,5.2,4.8,502
68118,2019,X35.to.39.years,435,416,8.5,8.6,8.3,851
68118,2019,X40.to.44.years,323,205,5.3,6.4,4.1,528
68118,2019,X45.to.49.years,376,398,7.7,7.5,7.9,774
68118,2019,X50.to.54.years,484,362,8.4,9.6,7.2,846
68118,2019,X55.to.59.years,389,430,8.2,7.7,8.6,819
68118,2019,X60.to.64.years,285,391,6.7,5.7,7.8,676
68118,2019,X65.to.69.years,294,276,5.7,5.8,5.5,570
68118,2019,X70.to.74.years,149,150,3,3,3,299
68118,2019,X75.to.79.years,70,84,1.5,1.4,1.7,154
68118,2019,X80.to.84.years,79,74,1.5,1.6,1.5,153
68118,2019,X85.years.and.over,80,60,1.4,1.6,1.2,140
68118,2019,Median.age..years.,40.1,39.2,NA,NA,NA,39.7
68118,2020,Total.population,4821,4700,NA,NA,NA,9521
68118,2020,Under.5.years,272,308,6.1,5.6,6.6,580
68118,2020,X5.to.9.years,394,379,8.1,8.2,8.1,773
68118,2020,X10.to.14.years,482,355,8.8,10,7.6,837
68118,2020,X15.to.19.years,367,276,6.8,7.6,5.9,643
68118,2020,X20.to.24.years,129,232,3.8,2.7,4.9,361
68118,2020,X25.to.29.years,138,187,3.4,2.9,4,325
68118,2020,X30.to.34.years,234,191,4.5,4.9,4.1,425
68118,2020,X35.to.39.years,367,333,7.4,7.6,7.1,700
68118,2020,X40.to.44.years,297,271,6,6.2,5.8,568
68118,2020,X45.to.49.years,403,420,8.6,8.4,8.9,823
68118,2020,X50.to.54.years,385,293,7.1,8,6.2,678
68118,2020,X55.to.59.years,302,318,6.5,6.3,6.8,620
68118,2020,X60.to.64.years,357,447,8.4,7.4,9.5,804
68118,2020,X65.to.69.years,312,261,6,6.5,5.6,573
68118,2020,X70.to.74.years,136,224,3.8,2.8,4.8,360
68118,2020,X75.to.79.years,61,74,1.4,1.3,1.6,135
68118,2020,X80.to.84.years,91,65,1.6,1.9,1.4,156
68118,2020,X85.years.and.over,94,66,1.7,1.9,1.4,160
68118,2020,Median.age..years.,40.3,42.3,NA,NA,NA,41
68122,2018,Total.population,6326,5547,NA,NA,NA,11873
68122,2018,Under.5.years,452,694,9.7,7.1,12.5,1146
68122,2018,X5.to.9.years,519,417,7.9,8.2,7.5,936
68122,2018,X10.to.14.years,586,570,9.7,9.3,10.3,1156
68122,2018,X15.to.19.years,383,282,5.6,6.1,5.1,665
68122,2018,X20.to.24.years,216,144,3,3.4,2.6,360
68122,2018,X25.to.29.years,579,371,8,9.2,6.7,950
68122,2018,X30.to.34.years,598,553,9.7,9.5,10,1151
68122,2018,X35.to.39.years,671,518,10,10.6,9.3,1189
68122,2018,X40.to.44.years,342,385,6.1,5.4,6.9,727
68122,2018,X45.to.49.years,378,285,5.6,6,5.1,663
68122,2018,X50.to.54.years,314,346,5.6,5,6.2,660
68122,2018,X55.to.59.years,325,313,5.4,5.1,5.6,638
68122,2018,X60.to.64.years,379,208,4.9,6,3.7,587
68122,2018,X65.to.69.years,176,199,3.2,2.8,3.6,375
68122,2018,X70.to.74.years,156,125,2.4,2.5,2.3,281
68122,2018,X75.to.79.years,111,47,1.3,1.8,0.8,158
68122,2018,X80.to.84.years,45,34,0.7,0.7,0.6,79
68122,2018,X85.years.and.over,96,56,1.3,1.5,1,152
68122,2018,Median.age..years.,33.6,32.3,NA,NA,NA,32.8
68122,2019,Total.population,6398,5713,NA,NA,NA,12111
68122,2019,Under.5.years,527,631,9.6,8.2,11,1158
68122,2019,X5.to.9.years,511,427,7.7,8,7.5,938
68122,2019,X10.to.14.years,450,541,8.2,7,9.5,991
68122,2019,X15.to.19.years,439,308,6.2,6.9,5.4,747
68122,2019,X20.to.24.years,192,166,3,3,2.9,358
68122,2019,X25.to.29.years,627,450,8.9,9.8,7.9,1077
68122,2019,X30.to.34.years,583,533,9.2,9.1,9.3,1116
68122,2019,X35.to.39.years,672,558,10.2,10.5,9.8,1230
68122,2019,X40.to.44.years,347,398,6.2,5.4,7,745
68122,2019,X45.to.49.years,435,302,6.1,6.8,5.3,737
68122,2019,X50.to.54.years,295,437,6,4.6,7.6,732
68122,2019,X55.to.59.years,345,296,5.3,5.4,5.2,641
68122,2019,X60.to.64.years,336,209,4.5,5.3,3.7,545
68122,2019,X65.to.69.years,198,185,3.2,3.1,3.2,383
68122,2019,X70.to.74.years,157,115,2.2,2.5,2,272
68122,2019,X75.to.79.years,103,28,1.1,1.6,0.5,131
68122,2019,X80.to.84.years,110,76,1.5,1.7,1.3,186
68122,2019,X85.years.and.over,71,53,1,1.1,0.9,124
68122,2019,Median.age..years.,34,32.7,NA,NA,NA,33.2
68122,2020,Total.population,5733,5481,NA,NA,NA,11214
68122,2020,Under.5.years,493,725,10.9,8.6,13.2,1218
68122,2020,X5.to.9.years,502,313,7.3,8.8,5.7,815
68122,2020,X10.to.14.years,468,665,10.1,8.2,12.1,1133
68122,2020,X15.to.19.years,287,248,4.8,5,4.5,535
68122,2020,X20.to.24.years,147,121,2.4,2.6,2.2,268
68122,2020,X25.to.29.years,603,463,9.5,10.5,8.4,1066
68122,2020,X30.to.34.years,557,583,10.2,9.7,10.6,1140
68122,2020,X35.to.39.years,577,567,10.2,10.1,10.3,1144
68122,2020,X40.to.44.years,289,296,5.2,5,5.4,585
68122,2020,X45.to.49.years,339,198,4.8,5.9,3.6,537
68122,2020,X50.to.54.years,302,472,6.9,5.3,8.6,774
68122,2020,X55.to.59.years,254,292,4.9,4.4,5.3,546
68122,2020,X60.to.64.years,341,139,4.3,5.9,2.5,480
68122,2020,X65.to.69.years,167,137,2.7,2.9,2.5,304
68122,2020,X70.to.74.years,194,117,2.8,3.4,2.1,311
68122,2020,X75.to.79.years,79,39,1.1,1.4,0.7,118
68122,2020,X80.to.84.years,90,86,1.6,1.6,1.6,176
68122,2020,X85.years.and.over,44,20,0.6,0.8,0.4,64
68122,2020,Median.age..years.,34,32.5,NA,NA,NA,33
68124,2018,Total.population,8539,7476,NA,NA,NA,16015
68124,2018,Under.5.years,469,584,6.6,5.5,7.8,1053
68124,2018,X5.to.9.years,686,522,7.5,8,7,1208
68124,2018,X10.to.14.years,516,596,6.9,6,8,1112
68124,2018,X15.to.19.years,396,403,5,4.6,5.4,799
68124,2018,X20.to.24.years,635,436,6.7,7.4,5.8,1071
68124,2018,X25.to.29.years,405,419,5.1,4.7,5.6,824
68124,2018,X30.to.34.years,483,409,5.6,5.7,5.5,892
68124,2018,X35.to.39.years,510,416,5.8,6,5.6,926
68124,2018,X40.to.44.years,486,586,6.7,5.7,7.8,1072
68124,2018,X45.to.49.years,382,483,5.4,4.5,6.5,865
68124,2018,X50.to.54.years,606,429,6.5,7.1,5.7,1035
68124,2018,X55.to.59.years,427,377,5,5,5,804
68124,2018,X60.to.64.years,557,516,6.7,6.5,6.9,1073
68124,2018,X65.to.69.years,420,388,5,4.9,5.2,808
68124,2018,X70.to.74.years,420,321,4.6,4.9,4.3,741
68124,2018,X75.to.79.years,298,159,2.9,3.5,2.1,457
68124,2018,X80.to.84.years,333,281,3.8,3.9,3.8,614
68124,2018,X85.years.and.over,510,151,4.1,6,2,661
68124,2018,Median.age..years.,41.8,39.3,NA,NA,NA,40.5
68124,2019,Total.population,8570,7381,NA,NA,NA,15951
68124,2019,Under.5.years,447,535,6.2,5.2,7.2,982
68124,2019,X5.to.9.years,587,528,7,6.8,7.2,1115
68124,2019,X10.to.14.years,468,573,6.5,5.5,7.8,1041
68124,2019,X15.to.19.years,420,446,5.4,4.9,6,866
68124,2019,X20.to.24.years,560,451,6.3,6.5,6.1,1011
68124,2019,X25.to.29.years,382,368,4.7,4.5,5,750
68124,2019,X30.to.34.years,585,433,6.4,6.8,5.9,1018
68124,2019,X35.to.39.years,500,391,5.6,5.8,5.3,891
68124,2019,X40.to.44.years,430,551,6.2,5,7.5,981
68124,2019,X45.to.49.years,324,395,4.5,3.8,5.4,719
68124,2019,X50.to.54.years,625,455,6.8,7.3,6.2,1080
68124,2019,X55.to.59.years,493,388,5.5,5.8,5.3,881
68124,2019,X60.to.64.years,568,572,7.1,6.6,7.7,1140
68124,2019,X65.to.69.years,464,414,5.5,5.4,5.6,878
68124,2019,X70.to.74.years,369,321,4.3,4.3,4.3,690
68124,2019,X75.to.79.years,308,169,3,3.6,2.3,477
68124,2019,X80.to.84.years,370,215,3.7,4.3,2.9,585
68124,2019,X85.years.and.over,670,176,5.3,7.8,2.4,846
68124,2019,Median.age..years.,44.2,39.4,NA,NA,NA,41.5
68124,2020,Total.population,8170,7362,NA,NA,NA,15532
68124,2020,Under.5.years,402,484,5.7,4.9,6.6,886
68124,2020,X5.to.9.years,551,523,6.9,6.7,7.1,1074
68124,2020,X10.to.14.years,387,526,5.9,4.7,7.1,913
68124,2020,X15.to.19.years,394,504,5.8,4.8,6.8,898
68124,2020,X20.to.24.years,556,340,5.8,6.8,4.6,896
68124,2020,X25.to.29.years,290,340,4.1,3.5,4.6,630
68124,2020,X30.to.34.years,755,553,8.4,9.2,7.5,1308
68124,2020,X35.to.39.years,477,440,5.9,5.8,6,917
68124,2020,X40.to.44.years,474,541,6.5,5.8,7.3,1015
68124,2020,X45.to.49.years,340,360,4.5,4.2,4.9,700
68124,2020,X50.to.54.years,487,415,5.8,6,5.6,902
68124,2020,X55.to.59.years,405,376,5,5,5.1,781
68124,2020,X60.to.64.years,493,564,6.8,6,7.7,1057
68124,2020,X65.to.69.years,479,439,5.9,5.9,6,918
68124,2020,X70.to.74.years,409,375,5,5,5.1,784
68124,2020,X75.to.79.years,364,194,3.6,4.5,2.6,558
68124,2020,X80.to.84.years,359,210,3.7,4.4,2.9,569
68124,2020,X85.years.and.over,548,178,4.7,6.7,2.4,726
68124,2020,Median.age..years.,42.9,39.7,NA,NA,NA,41
68127,2018,Total.population,10664,11781,NA,NA,NA,22445
68127,2018,Under.5.years,591,587,5.2,5.5,5,1178
68127,2018,X5.to.9.years,563,668,5.5,5.3,5.7,1231
68127,2018,X10.to.14.years,559,590,5.1,5.2,5,1149
68127,2018,X15.to.19.years,557,663,5.4,5.2,5.6,1220
68127,2018,X20.to.24.years,960,1036,8.9,9,8.8,1996
68127,2018,X25.to.29.years,916,1462,10.6,8.6,12.4,2378
68127,2018,X30.to.34.years,730,1250,8.8,6.8,10.6,1980
68127,2018,X35.to.39.years,765,800,7,7.2,6.8,1565
68127,2018,X40.to.44.years,540,403,4.2,5.1,3.4,943
68127,2018,X45.to.49.years,622,684,5.8,5.8,5.8,1306
68127,2018,X50.to.54.years,690,802,6.6,6.5,6.8,1492
68127,2018,X55.to.59.years,740,776,6.8,6.9,6.6,1516
68127,2018,X60.to.64.years,704,541,5.5,6.6,4.6,1245
68127,2018,X65.to.69.years,665,600,5.6,6.2,5.1,1265
68127,2018,X70.to.74.years,420,383,3.6,3.9,3.3,803
68127,2018,X75.to.79.years,267,188,2,2.5,1.6,455
68127,2018,X80.to.84.years,198,205,1.8,1.9,1.7,403
68127,2018,X85.years.and.over,177,143,1.4,1.7,1.2,320
68127,2018,Median.age..years.,37.2,33.6,NA,NA,NA,35.4
68127,2019,Total.population,10593,11524,NA,NA,NA,22117
68127,2019,Under.5.years,727,662,6.3,6.9,5.7,1389
68127,2019,X5.to.9.years,599,630,5.6,5.7,5.5,1229
68127,2019,X10.to.14.years,502,598,5,4.7,5.2,1100
68127,2019,X15.to.19.years,473,569,4.7,4.5,4.9,1042
68127,2019,X20.to.24.years,1009,1175,9.9,9.5,10.2,2184
68127,2019,X25.to.29.years,929,1289,10,8.8,11.2,2218
68127,2019,X30.to.34.years,752,1067,8.2,7.1,9.3,1819
68127,2019,X35.to.39.years,768,853,7.3,7.3,7.4,1621
68127,2019,X40.to.44.years,512,330,3.8,4.8,2.9,842
68127,2019,X45.to.49.years,588,735,6,5.6,6.4,1323
68127,2019,X50.to.54.years,582,763,6.1,5.5,6.6,1345
68127,2019,X55.to.59.years,722,750,6.7,6.8,6.5,1472
68127,2019,X60.to.64.years,732,585,6,6.9,5.1,1317
68127,2019,X65.to.69.years,670,596,5.7,6.3,5.2,1266
68127,2019,X70.to.74.years,375,394,3.5,3.5,3.4,769
68127,2019,X75.to.79.years,286,193,2.2,2.7,1.7,479
68127,2019,X80.to.84.years,199,199,1.8,1.9,1.7,398
68127,2019,X85.years.and.over,168,136,1.4,1.6,1.2,304
68127,2019,Median.age..years.,36.9,33.7,NA,NA,NA,35.4
68127,2020,Total.population,10653,11233,NA,NA,NA,21886
68127,2020,Under.5.years,648,729,6.3,6.1,6.5,1377
68127,2020,X5.to.9.years,525,696,5.6,4.9,6.2,1221
68127,2020,X10.to.14.years,504,530,4.7,4.7,4.7,1034
68127,2020,X15.to.19.years,525,505,4.7,4.9,4.5,1030
68127,2020,X20.to.24.years,920,1082,9.1,8.6,9.6,2002
68127,2020,X25.to.29.years,1066,1368,11.1,10,12.2,2434
68127,2020,X30.to.34.years,890,1037,8.8,8.4,9.2,1927
68127,2020,X35.to.39.years,800,924,7.9,7.5,8.2,1724
68127,2020,X40.to.44.years,480,372,3.9,4.5,3.3,852
68127,2020,X45.to.49.years,509,595,5,4.8,5.3,1104
68127,2020,X50.to.54.years,601,583,5.4,5.6,5.2,1184
68127,2020,X55.to.59.years,710,713,6.5,6.7,6.3,1423
68127,2020,X60.to.64.years,706,606,6,6.6,5.4,1312
68127,2020,X65.to.69.years,591,480,4.9,5.5,4.3,1071
68127,2020,X70.to.74.years,448,424,4,4.2,3.8,872
68127,2020,X75.to.79.years,322,223,2.5,3,2,545
68127,2020,X80.to.84.years,236,180,1.9,2.2,1.6,416
68127,2020,X85.years.and.over,172,186,1.6,1.6,1.7,358
68127,2020,Median.age..years.,36.7,33.3,NA,NA,NA,34.8
68130,2018,Total.population,10606,10670,NA,NA,NA,21276
68130,2018,Under.5.years,788,948,8.2,7.4,8.9,1736
68130,2018,X5.to.9.years,761,863,7.6,7.2,8.1,1624
68130,2018,X10.to.14.years,726,931,7.8,6.8,8.7,1657
68130,2018,X15.to.19.years,569,746,6.2,5.4,7,1315
68130,2018,X20.to.24.years,447,366,3.8,4.2,3.4,813
68130,2018,X25.to.29.years,577,435,4.8,5.4,4.1,1012
68130,2018,X30.to.34.years,723,510,5.8,6.8,4.8,1233
68130,2018,X35.to.39.years,834,825,7.8,7.9,7.7,1659
68130,2018,X40.to.44.years,763,785,7.3,7.2,7.4,1548
68130,2018,X45.to.49.years,748,791,7.2,7.1,7.4,1539
68130,2018,X50.to.54.years,829,758,7.5,7.8,7.1,1587
68130,2018,X55.to.59.years,695,809,7.1,6.6,7.6,1504
68130,2018,X60.to.64.years,646,590,5.8,6.1,5.5,1236
68130,2018,X65.to.69.years,580,569,5.4,5.5,5.3,1149
68130,2018,X70.to.74.years,431,293,3.4,4.1,2.7,724
68130,2018,X75.to.79.years,210,206,2,2,1.9,416
68130,2018,X80.to.84.years,111,164,1.3,1,1.5,275
68130,2018,X85.years.and.over,168,81,1.2,1.6,0.8,249
68130,2018,Median.age..years.,39,37.9,NA,NA,NA,38.4
68130,2019,Total.population,10519,10644,NA,NA,NA,21163
68130,2019,Under.5.years,695,913,7.6,6.6,8.6,1608
68130,2019,X5.to.9.years,788,843,7.7,7.5,7.9,1631
68130,2019,X10.to.14.years,711,909,7.7,6.8,8.5,1620
68130,2019,X15.to.19.years,645,818,6.9,6.1,7.7,1463
68130,2019,X20.to.24.years,356,356,3.4,3.4,3.3,712
68130,2019,X25.to.29.years,449,349,3.8,4.3,3.3,798
68130,2019,X30.to.34.years,687,509,5.7,6.5,4.8,1196
68130,2019,X35.to.39.years,822,800,7.7,7.8,7.5,1622
68130,2019,X40.to.44.years,803,784,7.5,7.6,7.4,1587
68130,2019,X45.to.49.years,686,756,6.8,6.5,7.1,1442
68130,2019,X50.to.54.years,762,787,7.3,7.2,7.4,1549
68130,2019,X55.to.59.years,747,829,7.4,7.1,7.8,1576
68130,2019,X60.to.64.years,687,592,6,6.5,5.6,1279
68130,2019,X65.to.69.years,643,566,5.7,6.1,5.3,1209
68130,2019,X70.to.74.years,413,329,3.5,3.9,3.1,742
68130,2019,X75.to.79.years,291,259,2.6,2.8,2.4,550
68130,2019,X80.to.84.years,125,171,1.4,1.2,1.6,296
68130,2019,X85.years.and.over,209,74,1.3,2,0.7,283
68130,2019,Median.age..years.,40.5,39.1,NA,NA,NA,39.8
68130,2020,Total.population,10685,10356,NA,NA,NA,21041
68130,2020,Under.5.years,705,840,7.3,6.6,8.1,1545
68130,2020,X5.to.9.years,743,777,7.2,7,7.5,1520
68130,2020,X10.to.14.years,871,825,8.1,8.2,8,1696
68130,2020,X15.to.19.years,607,876,7,5.7,8.5,1483
68130,2020,X20.to.24.years,350,392,3.5,3.3,3.8,742
68130,2020,X25.to.29.years,565,255,3.9,5.3,2.5,820
68130,2020,X30.to.34.years,671,523,5.7,6.3,5.1,1194
68130,2020,X35.to.39.years,741,714,6.9,6.9,6.9,1455
68130,2020,X40.to.44.years,967,864,8.7,9.1,8.3,1831
68130,2020,X45.to.49.years,613,853,7,5.7,8.2,1466
68130,2020,X50.to.54.years,676,648,6.3,6.3,6.3,1324
68130,2020,X55.to.59.years,699,845,7.3,6.5,8.2,1544
68130,2020,X60.to.64.years,745,548,6.1,7,5.3,1293
68130,2020,X65.to.69.years,685,521,5.7,6.4,5,1206
68130,2020,X70.to.74.years,409,337,3.5,3.8,3.3,746
68130,2020,X75.to.79.years,299,287,2.8,2.8,2.8,586
68130,2020,X80.to.84.years,131,145,1.3,1.2,1.4,276
68130,2020,X85.years.and.over,208,106,1.5,1.9,1,314
68130,2020,Median.age..years.,40.4,39.9,NA,NA,NA,40.2
68131,2018,Total.population,6658,6844,NA,NA,NA,13502
68131,2018,Under.5.years,383,311,5.1,5.8,4.5,694
68131,2018,X5.to.9.years,334,503,6.2,5,7.3,837
68131,2018,X10.to.14.years,369,368,5.5,5.5,5.4,737
68131,2018,X15.to.19.years,363,402,5.7,5.5,5.9,765
68131,2018,X20.to.24.years,1258,1136,17.7,18.9,16.6,2394
68131,2018,X25.to.29.years,955,914,13.8,14.3,13.4,1869
68131,2018,X30.to.34.years,578,705,9.5,8.7,10.3,1283
68131,2018,X35.to.39.years,472,585,7.8,7.1,8.5,1057
68131,2018,X40.to.44.years,297,327,4.6,4.5,4.8,624
68131,2018,X45.to.49.years,239,325,4.2,3.6,4.7,564
68131,2018,X50.to.54.years,286,222,3.8,4.3,3.2,508
68131,2018,X55.to.59.years,271,244,3.8,4.1,3.6,515
68131,2018,X60.to.64.years,272,314,4.3,4.1,4.6,586
68131,2018,X65.to.69.years,198,192,2.9,3,2.8,390
68131,2018,X70.to.74.years,102,144,1.8,1.5,2.1,246
68131,2018,X75.to.79.years,89,6,0.7,1.3,0.1,95
68131,2018,X80.to.84.years,38,4,0.3,0.6,0.1,42
68131,2018,X85.years.and.over,154,142,2.2,2.3,2.1,296
68131,2018,Median.age..years.,28.5,29,NA,NA,NA,28.7
68131,2019,Total.population,6571,6825,NA,NA,NA,13396
68131,2019,Under.5.years,360,412,5.8,5.5,6,772
68131,2019,X5.to.9.years,390,387,5.8,5.9,5.7,777
68131,2019,X10.to.14.years,281,359,4.8,4.3,5.3,640
68131,2019,X15.to.19.years,257,464,5.4,3.9,6.8,721
68131,2019,X20.to.24.years,1411,1143,19.1,21.5,16.7,2554
68131,2019,X25.to.29.years,1177,973,16,17.9,14.3,2150
68131,2019,X30.to.34.years,570,910,11,8.7,13.3,1480
68131,2019,X35.to.39.years,424,478,6.7,6.5,7,902
68131,2019,X40.to.44.years,254,285,4,3.9,4.2,539
68131,2019,X45.to.49.years,191,259,3.4,2.9,3.8,450
68131,2019,X50.to.54.years,264,189,3.4,4,2.8,453
68131,2019,X55.to.59.years,183,199,2.9,2.8,2.9,382
68131,2019,X60.to.64.years,246,276,3.9,3.7,4,522
68131,2019,X65.to.69.years,177,228,3,2.7,3.3,405
68131,2019,X70.to.74.years,168,148,2.4,2.6,2.2,316
68131,2019,X75.to.79.years,114,7,0.9,1.7,0.1,121
68131,2019,X80.to.84.years,42,0,0.3,0.6,0,42
68131,2019,X85.years.and.over,62,108,1.3,0.9,1.6,170
68131,2019,Median.age..years.,27.7,28.4,NA,NA,NA,28
68131,2020,Total.population,6996,6552,NA,NA,NA,13548
68131,2020,Under.5.years,228,356,4.3,3.3,5.4,584
68131,2020,X5.to.9.years,332,364,5.1,4.7,5.6,696
68131,2020,X10.to.14.years,241,362,4.5,3.4,5.5,603
68131,2020,X15.to.19.years,254,375,4.6,3.6,5.7,629
68131,2020,X20.to.24.years,1621,1038,19.6,23.2,15.8,2659
68131,2020,X25.to.29.years,1135,923,15.2,16.2,14.1,2058
68131,2020,X30.to.34.years,644,1158,13.3,9.2,17.7,1802
68131,2020,X35.to.39.years,330,283,4.5,4.7,4.3,613
68131,2020,X40.to.44.years,298,219,3.8,4.3,3.3,517
68131,2020,X45.to.49.years,321,209,3.9,4.6,3.2,530
68131,2020,X50.to.54.years,391,152,4,5.6,2.3,543
68131,2020,X55.to.59.years,225,232,3.4,3.2,3.5,457
68131,2020,X60.to.64.years,274,378,4.8,3.9,5.8,652
68131,2020,X65.to.69.years,176,287,3.4,2.5,4.4,463
68131,2020,X70.to.74.years,237,114,2.6,3.4,1.7,351
68131,2020,X75.to.79.years,127,18,1.1,1.8,0.3,145
68131,2020,X80.to.84.years,69,4,0.5,1,0.1,73
68131,2020,X85.years.and.over,93,80,1.3,1.3,1.2,173
68131,2020,Median.age..years.,29,29.4,NA,NA,NA,29.2
68132,2018,Total.population,7232,7337,NA,NA,NA,14569
68132,2018,Under.5.years,483,528,6.9,6.7,7.2,1011
68132,2018,X5.to.9.years,516,389,6.2,7.1,5.3,905
68132,2018,X10.to.14.years,477,376,5.9,6.6,5.1,853
68132,2018,X15.to.19.years,596,716,9,8.2,9.8,1312
68132,2018,X20.to.24.years,527,633,8,7.3,8.6,1160
68132,2018,X25.to.29.years,665,540,8.3,9.2,7.4,1205
68132,2018,X30.to.34.years,593,563,7.9,8.2,7.7,1156
68132,2018,X35.to.39.years,469,619,7.5,6.5,8.4,1088
68132,2018,X40.to.44.years,453,606,7.3,6.3,8.3,1059
68132,2018,X45.to.49.years,498,465,6.6,6.9,6.3,963
68132,2018,X50.to.54.years,397,367,5.2,5.5,5,764
68132,2018,X55.to.59.years,384,475,5.9,5.3,6.5,859
68132,2018,X60.to.64.years,426,404,5.7,5.9,5.5,830
68132,2018,X65.to.69.years,213,310,3.6,2.9,4.2,523
68132,2018,X70.to.74.years,271,199,3.2,3.7,2.7,470
68132,2018,X75.to.79.years,103,102,1.4,1.4,1.4,205
